ID^Name^Gender^Ancestry^Class^Subclass^Level^CR^Role^Faction^Region^Settlement^Disposition^AC^HP^Main_Attack^Attack_Bonus^Damage^Key_Spells^Constellation^Notable_Items^First_Met^Speech_Quirks
SL-00006^Bront Vantry^Άνδρας^Half-Orc^Fighter^-^1^1/8^Αρχάριος γιατρός^Independent^Datasphere's Reach^Ninth Cluster (SET-094)^Ουδέτερος^19^11^Greatsword^+5^2d6+3 τέμνον^-^-^ασπίδα με τρία διαφορετικά οικόσημα καρφωμένα το ένα πάνω στο άλλο; απομαγνητοφώνηση συνομιλίας που δεν έκανε; απόδειξη θανάτου που δεν έχει συμβεί ακόμα^Σκάβει ένα signal-shard από τοίχο με τεράστια υπομονή.^Μετράει ως το τρία ψιθυριστά πριν απαντήσει σε κάτι δύσκολο.
SL-00022^Orzad Quillon^Άνδρας^Orc^Rogue^Thief^9^5^Αναγνώστης καταιγίδων^Independent^Datasphere's Reach^Waking Terminus (SET-092)^Φιλικός^15^76^Dagger (Sneak Attack)^+9^1d4+5 + 5d6 διατρητικό^-^-^Veiled Lantern lockpicks; σταθμό βαθμονόμησης, ανεξήγητο; οδηγίες για μια τελετή, σε μετάφραση, με το τελευταίο βήμα να λείπει^Ανασύρει ένα signal-shard από ναυάγιο και το τσεπώνει πριν προλάβετε να ρωτήσετε.^Μιλάει για το μέλλον μόνο σε υποθετικό, ποτέ σε οριστική.
SL-00040^Aust Dross^Άνδρας^Elf^Warlock^-^2^1/4^Αγγελιοφόρος μηνυμάτων^Independent^Datasphere's Reach^Bright Relay (SET-089)^Φιλικός^13^21^Eldritch Blast^+5^1 δέσμες, 1d10+3 force η καθεμία^Dissonant Whispers; Charm Person; Hex; Arms of Hadar^-^μενταγιόν με στάχτινο στέμμα; shard που παίζει μία λέξη σε βρόχο; τίτλος ιδιοκτησίας για κτίριο που έχει κατεδαφιστεί^Σκάβει ένα signal-shard από τοίχο με τεράστια υπομονή.^Μιλάει αρκετά σιγά ώστε να σκύβει ο κόσμος, που είναι όλο το νόημα.
SL-00047^Rionach Quarrick^Γυναίκα^Elf^Paladin^Oath of the Ancients^3^1/2^Νερουλάς^Independent^Datasphere's Reach^Silent Node (SET-091)^Φιλική^19^32^Warhammer (Divine Smite)^+5^1d8+3 + 2d8 radiant^Compelled Duel; Cure Wounds; Shield of Faith; Bless^-^γάντι που ανήκε σε κάποιον άλλο; shard που παίζει μία λέξη σε βρόχο; shard με μήνυμα που δεν έχει παίξει ποτέ^Χαρτογραφεί ένα ερείπιο μετρώντας το με βήματα, δύο φορές, και βγάζει διαφορετικούς αριθμούς.^Η προφορά της βαραίνει μόλις τον ρωτήσουν από πού είναι.
SL-00058^Chime Brackwater^Γυναίκα^Awakened Construct^Druid^Circle of the Land^3^1/2^Υπάλληλος διοδίων^Drifters^Datasphere's Reach^Silent Node (SET-091)^Ουδέτερη^16^27^Produce Flame^+5^1d8+3 τέμνον^Healing Word; Thunderwave; Faerie Fire; Goodberry^-^σακούλι με σπόρους εξαφανισμένων χόρτων; σταθμό βαθμονόμησης, ανεξήγητο; μια χάρη που οφείλει κάποιος τον οποίο το party θα χρειαστεί^Περπατάει τέλειο πλέγμα σε άδεια πεδιάδα και αρνείται να κόψει βήμα.^Η προφορά της βαραίνει μόλις τον ρωτήσουν από πού είναι.
SL-00060^Thrain Wend^Άνδρας^Dwarf^Wizard^School of Divination^6^4^Πράκτορας χαρτών^New Grandia Authority^Datasphere's Reach^Ninth Node (SET-090)^Ουδέτερος^12^52^Ray of Frost^+7^2d8 cold^Shield; Misty Step; Detect Magic; Mirror Image^-^θήκη με 5 scrolls; ηχογράφηση που παίζει μόνο την αυγή; σύμβολο ενός Circle που δεν συνεδριάζει πια^Ακούει σήμα σε ακουστικό χωρίς ορατή πηγή.^Προφορά που κανείς δεν τοποθετεί, και δίνει διαφορετική καταγωγή κάθε φορά που ρωτιέται.
SL-00069^Brakka Hollis^Γυναίκα^Orc^Bard^College of Dance^11^7^Τοπογράφος shaft^Independent^Datasphere's Reach^Bright Relay (SET-089)^Εχθρική^17^97^Rapier^+9^1d8+5 διατρητικό^Hold Person; Hypnotic Pattern; Suggestion; Invisibility^-^λαούτο με ασημένιες χορδές; σταθμό βαθμονόμησης, ανεξήγητο; μια χάρη που οφείλει κάποιος τον οποίο το party θα χρειαστεί^Μετράει επιζώντες μιας αποστολής που δεν έχει ακόμα αναφερθεί χαμένη.^Κάνει τρεις ερωτήσεις πριν απαντήσει σε μία.
SL-00075^Mog Jorvik^Άνδρας^Orc^Fighter^Champion^18^12^Πιλότος καταιγίδων^The Awakened^Datasphere's Reach^Fourth Array (SET-085)^Ουδέτερος^21^232^Halberd^+11^1d10+5 τέμνον^-^-^χαρακωμένο greatsword; σταθμό βαθμονόμησης, ανεξήγητο; debt-token από τους Lifeweavers^Χαρτογραφεί ένα ερείπιο μετρώντας το με βήματα, δύο φορές, και βγάζει διαφορετικούς αριθμούς.^Μιλάει μόνο σε προστακτική, ακόμα και κοινωνικά.
SL-00076^Rosie Pinfold^Γυναίκα^Halfling^Ranger^Fey Wanderer^10^5^Μεσάζων χρεών^Independent^Datasphere's Reach^Silent Array (SET-088)^Ουδέτερη^16^92^Hand crossbow^+9^1d6+5 διατρητικό^Lesser Restoration; Lightning Arrow; Conjure Barrage; Dispel Magic^-^παγίδες και σφυρίχτρα από κόκαλο; Veiled Lantern signal-shard; ένταλμα με τη δική της περιγραφή πάνω^Ανασύρει ένα signal-shard από ναυάγιο και το τσεπώνει πριν προλάβετε να ρωτήσετε.^Σφυρίζει ελαφρά στα σίγμα από ένα δόντι που δεν αντικατέστησε ποτέ.
SL-00090^Fenna Ostwind^Γυναίκα^Human^Paladin^Oath of the Ancients^5^2^Μάρτυρας συμβολαίων^The Awakened^Datasphere's Reach^Silent Node (SET-091)^Φιλική^19^54^Warhammer (Divine Smite)^+7^1d8+4 + 2d8 radiant^Shield of Faith; Misty Step; Zone of Truth; Compelled Duel^-^φθαρμένο από τον δρόμο oath scroll; θραύσμα κώδικα που ξαναγράφει τον εαυτό του; σελίδα σκισμένη από πολύ παλιότερο βιβλίο^Μετράει επιζώντες μιας αποστολής που δεν έχει ακόμα αναφερθεί χαμένη.^Μετράει τις λέξεις της και ξοδεύει καμιά τριανταριά τη μέρα· για τα υπόλοιπα νεύει και χειρονομεί.
SL-00098^Marek Merrick^Άνδρας^Human^Wizard^School of Evocation^11^7^Επόπτης nanite^The Awakened^Datasphere's Reach^Silent Node (SET-091)^Ουδέτερος^13^98^Fire Bolt^+9^310 fire^Dispel Magic; Detect Magic; Fireball; Mirror Image^-^γυάλινη ράβδος που βουίζει κοντά σε shields; Veiled Lantern signal-shard; σφραγισμένο φιαλίδιο με μόνο μια ημερομηνία^Χαρτογραφεί ένα ερείπιο μετρώντας το με βήματα, δύο φορές, και βγάζει διαφορετικούς αριθμούς.^Προφέρει κάθε αρκανό όρο με οδυνηρή ακρίβεια και όλα τα υπόλοιπα πρόχειρα.
SL-00105^Ansel Hollowmere^Άνδρας^Human^Paladin^Oath of Glory^6^3^Επιμελητής καραβανιού^The Awakened^Datasphere's Reach^Silent Node (SET-091)^Φιλικός^18^73^Greatsword (Divine Smite)^+7^2d6+4 + 2d8 radiant^Aid; Shield of Faith; Compelled Duel; Divine Favor^-^όρκος ξαναγραμμένος με το ίδιο του το χέρι; ηχογράφηση που παίζει μόνο την αυγή; μισή σκισμένη χάρτα· το άλλο μισό λείπει^Κουβαλάει ένα shard που βουίζει και κάνει ότι δεν βουίζει.^Ελαφρύς τραυλισμός στα σκληρά σύμφωνα που εξαφανίζεται όταν επαναλαμβάνει κάτι που του είπαν.
SL-00113^Mazha Ashenford^Γυναίκα^Half-Orc^Ranger^Hunter^9^5^Κλεπταποδόχος^Independent^Datasphere's Reach^Fourth Array (SET-085)^Ουδέτερη^15^88^Longbow^+9^1d8+5 διατρητικό^Summon Beast; Silence; Lightning Arrow; Cure Wounds^-^σφυρίχτρα κουρδισμένη για ένα μόνο ζώο; θραύσμα κώδικα που ξαναγράφει τον εαυτό του; κατάστιχο με κωδικοποιημένα όλα τα χρέη της κάτω πόλης^Ακούει σήμα σε ακουστικό χωρίς ορατή πηγή.^Δεν λέει ποτέ τιμή, μόνο εύρος, και σε αφήνει να ανεβάσεις μόνη τον εαυτό σου.
