ID^Name^Gender^Ancestry^Class^Subclass^Level^CR^Role^Faction^Region^Settlement^Disposition^AC^HP^Main_Attack^Attack_Bonus^Damage^Key_Spells^Constellation^Notable_Items^First_Met^Speech_Quirks
SL-00001^Temperance Zell^Γυναίκα^Tiefling^Druid^-^1^1/8^Παραγιός μάγειρα^Guardians^New Grandia^Lower Row (SET-016)^Ουδέτερη^15^11^Starry Form (The Long Shot)^+5^1d8+3 radiant^Goodberry; Entangle; Thunderwave; Healing Word^-^σακούλι με σπόρους εξαφανισμένων χόρτων; κλειδί δωματίου στην πάνω συνοικία; μια χάρη που οφείλει κάποιος τον οποίο το party θα χρειαστεί^Στην κάτω αγορά αγοράζει ακριβώς ένα πράγμα, πολύ προσεκτικά.^Βραχνιάζει μέσα σε μια ώρα κουβέντας και μοιράζει τις προτάσεις της ανάλογα.
SL-00011^Iados Mossgrave^Άνδρας^Tiefling^Barbarian^Path of the Berserker^7^3^Ανιχνευτής^New Grandia Authority^New Grandia^Mill Quarter (SET-021)^Φιλικός^15^81^Greataxe^+7^1d12+4 τέμνον^-^-^μανδύας από δέρμα πλάσματος που δεν θα έπρεπε να υπάρχει; ειδοποίηση χρέους ακαδημίας; σελίδα σκισμένη από πολύ παλιότερο βιβλίο^Πουλάει κάτι σε πάγκο αγοράς που δεν θα έπρεπε νομικά να υπάρχει.^Μιλάει γρήγορα όταν λέει ψέματα και αργά όταν λέει αλήθεια, και το ξέρει.
SL-00013^Brynn Inglewood^Γυναίκα^Half-Elf^Bard^-^2^1/4^Μαθητευόμενος σιδεράς^The Awakened^New Grandia^Chandler's District (SET-018)^Εχθρική^13^15^Shortsword^+5^1d6+3 διατρητικό^Bane; Charm Person; Faerie Fire; Healing Word^-^συστατική επιστολή για αυλή που έχει πέσει; δελτία μερίδας για συνοικία όπου δεν επιτρέπεται να μπει; κομμάτι συμβολαίου με τρεις υπογραφές και κανέναν όρο^Στέκεται σε παράθυρο κοιτώντας τη συνοικία από κάτω και μετράει κάτι.^Σωπαίνει τελείως όταν λέει ψέματα, που είναι κακή τακτική.
SL-00014^Selis Longbarrow^Γυναίκα^Half-Elf^Fighter^Battle Master^5^2^Χειριστής θηρίων^New Grandia Authority^New Grandia^Mill Quarter (SET-021)^Ουδέτερη^20^57^Longsword^+7^1d8+4 τέμνον^-^-^κόρνα ρήγματος shield; δελτίο σειράς από υπηρεσία που δεν υπάρχει πια; λίστα με έξι ονόματα, τα τέσσερα διαγραμμένα^Περιμένει σε προθάλαμο που σας είπαν ότι ήταν άδειος.^Μιλάει γρήγορα όταν λέει ψέματα και αργά όταν λέει αλήθεια, και το ξέρει.
SL-00016^Fenn Kessel^Άνδρας^Halfling^Druid^-^1^1/8^Υπάλληλος πύλης^New Grandia Authority^New Grandia^Mill Quarter (SET-021)^Ουδέτερος^16^8^Produce Flame^+5^1d8+3 τέμνον^Healing Word; Thunderwave; Entangle; Goodberry^-^χάρτης άστρων σε κατεργασμένο δέρμα; κλειδί δωματίου στην πάνω συνοικία; κομμάτι συμβολαίου με τρεις υπογραφές και κανέναν όρο^Κατεβάζει μια αναρτημένη ανακοίνωση και τη βάζει πίσω πανομοιότυπη.^Σταματάει για να διαλέξει ανάμεσα σε δύο λέξεις και πάντα παίρνει την πιο ωμή.
SL-00019^Nol Vance^Άνδρας^Human^Fighter^Champion^8^4^Επιστάτης ορυχείου^The Awakened^New Grandia^Old Row (SET-020)^Ουδέτερος^20^90^Longsword^+7^1d8+4 τέμνον^-^-^ασπίδα με τρία διαφορετικά οικόσημα καρφωμένα το ένα πάνω στο άλλο; φυλλάδιο που υποστηρίζει ότι τα shields ήταν λάθος; νόμισμα στραβωμένο από βολή που δεν αυτόν πέτυχε^Στην ουρά για μερίδες του shield-district με χαρτιά που δεν θα σταθούν.^Φωνή κατεστραμμένη από έκθεση σε nanites· κουβαλάει πλακέτα για τις μεγάλες εξηγήσεις.
SL-00025^Rook Goldhollow^Άνδρας^Human^Wizard^School of Evocation^12^8^Αρχιεκτιμητής^New Grandia Authority^New Grandia^Old Row (SET-020)^Ουδέτερος^13^104^Ray of Frost^+9^3d8 cold^Hypnotic Pattern; Magic Missile; Misty Step; Fly^-^spellbook με δικές του σημειώσεις; δελτία μερίδας για συνοικία όπου δεν επιτρέπεται να μπει; μια υπόσχεση, γραμμένη, με δύο μάρτυρες^Σταματάει το party σε checkpoint για μια ασυμφωνία στα χαρτιά που τεχνικά υπάρχει.^Τικ να αγγίζει τον λαιμό του πριν μιλήσει, από τραύμα που έχει κλείσει προ πολλού.
SL-00029^Harann Stell^Γυναίκα^Dragonborn^Ranger^Fey Wanderer^9^5^Τεχνικός shield^Guardians^New Grandia^Mill Quarter (SET-021)^Φιλική^16^77^Shortsword pair^+9^1d6+5 διατρητικό^Goodberry; Lesser Restoration; Fog Cloud; Spike Growth^-^παγίδες και σφυρίχτρα από κόκαλο; δελτίο σειράς από υπηρεσία που δεν υπάρχει πια; κατάστιχο με κωδικοποιημένα όλα τα χρέη της κάτω πόλης^Χάνει μια διαφωνία με έναν υπάλληλο και την κερδίζει μια ώρα μετά, γραπτώς.^Τραυλισμός που καθαρίζει εντελώς όταν δίνει διαταγές.
SL-00032^Edric Ashby^Άνδρας^Human^Cleric^Trickery Domain^7^4^Ανασύρτης ναυαγίων^New Grandia Authority^New Grandia^Old Row (SET-020)^Εχθρικός^18^65^Sacred Flame^+7^1d8+4 τέμνον^Healing Word; Aid; Guiding Bolt; Silence^-^φορητό βωμό που διπλώνει σε σακίδιο; πλαστό clearance sigil; γραπτή ομολογία υπογεγραμμένη από κάποιον που ζει ακόμα^Καταθέτει καταγγελία για το party σας πριν κάνετε οτιδήποτε.^Παραλείπει τα άρθρα, δίνοντας σε κάθε πρόταση κοφτό, τηλεγραφικό σχήμα.
SL-00034^Thessaly Dane^Γυναίκα^Elf^Paladin^-^1^1/8^Νεοσύλλεκτος^Guardians^New Grandia^Mill District (SET-022)^Φιλική^18^12^Greatsword (Divine Smite)^+5^2d6+3 + 2d8 radiant^Bless; Divine Favor; Shield of Faith; Cure Wounds^-^ασπίδα με μισοσβησμένο οικόσημο; ειδοποίηση χρέους ακαδημίας; σύμβολο ενός Circle που δεν συνεδριάζει πια^Εκπαιδεύει μια ομάδα στο εσωτερικό τείχος και κόβει τη διαταγή στη μέση μόλις σας δει.^Συγχρονίζει τις προτάσεις της με την αναπνοή και ξεμένει από αέρα στη μέση της σκέψης.
SL-00070^Helja Grimsby^Γυναίκα^Dwarf^Fighter^Eldritch Knight^16^10^Κυνηγός Calamity^New Grandia Authority^New Grandia^Old Row (SET-020)^Ουδέτερη^20^206^Longsword^+10^1d8+5 τέμνον^-^-^δόρυ με αλλαγμένη αιχμή, δύο φορές; κλειδί δωματίου στην πάνω συνοικία; γραμμάτιο από faction που αρνείται ότι το εξέδωσε^Εκπαιδεύει μια ομάδα στο εσωτερικό τείχος και κόβει τη διαταγή στη μέση μόλις σας δει.^Αργη και μετρημένη· δεν υψώνει ποτέ τη φωνή της και δεν επαναλαμβάνει.
SL-00081^Hana Whitlock^Γυναίκα^Human^Wizard^School of Divination^3^1/2^Σχοινάς^New Grandia Authority^New Grandia^Old Row (SET-020)^Ουδέτερη^13^25^Arcane Ray^+5^1d8 force^Magic Missile; Sleep; Shield; Grease^-^γυάλινη ράβδος που βουίζει κοντά σε shields; ειδοποίηση χρέους ακαδημίας; γράμμα που δεν στάλθηκε ποτέ^Στέκεται σε παράθυρο κοιτώντας τη συνοικία από κάτω και μετράει κάτι.^Μιλάει τη γραφειοκρατική του shield-district και δεν έχει καταλάβει ότι δεν είναι παγκόσμια.
SL-00086^Gerbo Vantry^Άνδρας^Gnome^Paladin^Oath of Devotion^5^2^Επικαλητής καταιγίδας^Guardians^New Grandia^Old Row (SET-020)^Φιλικός^20^60^Longsword (Divine Smite)^+7^1d8+4 + 2d8 radiant^Cure Wounds; Misty Step; Divine Favor; Hunter's Mark^-^φθαρμένο από τον δρόμο oath scroll; φυλλάδιο που υποστηρίζει ότι τα shields ήταν λάθος; μια χάρη που οφείλει κάποιος τον οποίο το party θα χρειαστεί^Τρώει όρθιος πάνω στο τείχος σε αλλαγή βάρδιας.^Ελαφρύς τραυλισμός στα σκληρά σύμφωνα που εξαφανίζεται όταν επαναλαμβάνει κάτι που του είπαν.
SL-00100^Aldric Brine^Άνδρας^Human^Sorcerer^-^2^1/4^Φύλακας κελαριού^New Grandia Authority^New Grandia^Old Terrace (SET-023)^Φιλικός^13^16^Fire Bolt^+5^110 fire^Burning Hands; Shield; Absorb Elements; Chromatic Orb^-^φιαλίδιο νερού καταιγίδας που δεν έχει κατακαθίσει; δελτία μερίδας για συνοικία όπου δεν επιτρέπεται να μπει; βιβλιάριο μερίδων με εγγραφές σε δύο χέρια^Κοιμάται σε κλιμακοστάσιο με ρόμπα ακαδημίας.^Κοφτές καταφάσεις· χρόνια φωνάζοντας πάνω από τον άνεμο άφησαν τη φωνή του μόνιμα βραχνή.
SL-00107^Meridian Voss^Άνδρας^Aasimar^Sorcerer^-^2^1/4^Βοσκόπουλο^Guardians^New Grandia^Old Row (SET-020)^Εχθρικός^11^13^Ray of Frost^+5^1d8 cold^Shield; Absorb Elements; Burning Hands; Chromatic Orb^-^φιαλίδιο νερού καταιγίδας που δεν έχει κατακαθίσει; ειδοποίηση χρέους ακαδημίας; σφραγισμένο φιαλίδιο με μόνο μια ημερομηνία^Πουλάει κάτι σε πάγκο αγοράς που δεν θα έπρεπε νομικά να υπάρχει.^Ζητάει συγγνώμη πριν από κάθε πρόταση, ακόμα και πριν από τα καλά νέα.
SL-00109^Raiann Vale^Γυναίκα^Dragonborn^Artificer^Armorer^12^7^Σφραγιστής των scars^New Grandia Authority^New Grandia^Old Row (SET-020)^Εχθρική^18^135^Thunder Gauntlets^+9^1d8+5 θλαστικό^Fly; Haste; Absorb Elements; Enhance Ability^-^ανταλλακτική κάννη Eldritch Cannon; πλαστό clearance sigil; απλήρωτος λογαριασμός από τρεις πόλεις^Κατεβάζει μια αναρτημένη ανακοίνωση και τη βάζει πίσω πανομοιότυπη.^Γελάει πριν ανακοινώσει άσχημα νέα και δεν μπορεί να το σταματήσει.
