Weather_ID^Weather^Nav^Nav_Name^Monster_Range^d20^Area_Effect
W01^The Calm^D^Drizzle^None^1^Dust settles for the first time in days, and the roads show every track laid down during the last storm.
W01^The Calm^D^Drizzle^None^2^Standing water goes glassy and mirror-still, doubling the sky in every crater and wheel-rut.
W01^The Calm^D^Drizzle^None^3^Insects return in numbers nobody remembers, thick enough over the grass to be heard as a hum.
W01^The Calm^D^Drizzle^None^4^Shield pylons idle down to a low amber standby, and the towns beneath them go strangely quiet.
W01^The Calm^D^Drizzle^None^5^Scavenger birds circle high and unhurried, marking the bodies the last weather left behind.
W01^The Calm^D^Drizzle^None^6^Grass and scrub stand fully upright for once, unbent by wind, and the ground looks unfamiliar because of it.
W01^The Calm^D^Drizzle^None^7^Smoke from cookfires rises dead vertical, visible for miles, which is exactly the problem.
W01^The Calm^D^Drizzle^None^8^Wells and cisterns clear as sediment drops out, and the water tastes of nothing at all.
W01^The Calm^D^Drizzle^None^9^Old ruins throw hard, precise shadows, and outlines nobody has seen properly in years become legible.
W01^The Calm^D^Drizzle^None^10^Savage sign appears everywhere at once: fresh snares, cut brush, footprints heading toward every settlement.
W01^The Calm^D^Drizzle^None^11^The horizon is genuinely visible, which unnerves anyone who has spent a season in cyclone country.
W01^The Calm^D^Drizzle^None^12^Carrion flies thicken over the roadside, the only sound for a hundred paces in any direction.
W01^The Calm^D^Drizzle^None^13^Field crops that survived stand undamaged and ripe, and every farmer in reach is out harvesting at once.
W01^The Calm^D^Drizzle^None^14^Caravan traffic triples within a day, and every waystation is over capacity by nightfall.
W01^The Calm^D^Drizzle^None^15^Sound carries absurdly far — a hammer strike at a mile, a voice at half that.
W01^The Calm^D^Drizzle^None^16^Salvage crews strip wrecks openly in daylight, working fast against the weather's return.
W01^The Calm^D^Drizzle^None^17^Night sky is fully clear, and constellations normally lost to cloud are visible down to the horizon.
W01^The Calm^D^Drizzle^None^18^Livestock refuse to settle despite the good weather, watching the sky as though disagreeing with it.
W01^The Calm^D^Drizzle^None^19^Roads dry out and harden, and cart wheels ring on packed earth instead of sinking.
W01^The Calm^D^Drizzle^None^20^Every drifter you pass looks over their shoulder at least once, out of pure habit.
W02^Petrichor Rain^D^Drizzle^D–C^1^The smell arrives before the rain does and clings to cloth, cargo and hair for days afterward.
W02^Petrichor Rain^D^Drizzle^D–C^2^Dust turns to a thin slick that takes footprints perfectly and holds them long after you have gone.
W02^Petrichor Rain^D^Drizzle^D–C^3^Stone darkens unevenly, and old carvings and worn inscriptions become readable for the first time in years.
W02^Petrichor Rain^D^Drizzle^D–C^4^Every low point fills with a shallow, sweet-smelling film that will not evaporate on schedule.
W02^Petrichor Rain^D^Drizzle^D–C^5^Beasts within a mile lift their heads and turn toward the rain, tracking it rather than sheltering from it.
W02^Petrichor Rain^D^Drizzle^D–C^6^Cargo tarps must be checked hourly; the smell soaks through canvas and ruins food stores.
W02^Petrichor Rain^D^Drizzle^D–C^7^Moss and lichen swell visibly on north-facing walls, spreading a hand's width in an afternoon.
W02^Petrichor Rain^D^Drizzle^D–C^8^Wheel ruts fill and hold water that stays perfectly clear instead of muddying.
W02^Petrichor Rain^D^Drizzle^D–C^9^The air cools four or five degrees and stays there, long after the drizzle has stopped.
W02^Petrichor Rain^D^Drizzle^D–C^10^Wooden structures swell and doors stop closing properly across a whole settlement.
W02^Petrichor Rain^D^Drizzle^D–C^11^Wolf-tier monsters follow the scent line rather than the road, cutting across open ground.
W02^Petrichor Rain^D^Drizzle^D–C^12^Leather goes soft and dark, and every saddle and strap needs reworking afterward.
W02^Petrichor Rain^D^Drizzle^D–C^13^Birds fall silent entirely, and the absence is more noticeable than the rain.
