ID^Name^Gender^Ancestry^Class^Subclass^Level^CR^Role^Faction^Region^Settlement^Disposition^AC^HP^Main_Attack^Attack_Bonus^Damage^Key_Spells^Constellation^Notable_Items^First_Met^Speech_Quirks
SL-00004^Manneo Whitlock^Γυναίκα^Goliath^Fighter^-^2^1/4^Σκοπός^Guardians^Thundermount^Anvil Head (SET-035)^Ουδέτερη^17^23^Greatsword^+5^2d6+3 τέμνον^-^-^βαρίδια ρίψης; χρονόμετρο έκρηξης, ακόμα κουρδισμένο; συντεταγμένες προς ένα άγνωστο από τα 108 Wonders^Κάθεται πάνω σε σωρό μπάζων, τρώει, και κοιτάει το στόμιο ενός shaft.^Μιλάει γρήγορα όταν λέει ψέματα και αργά όταν λέει αλήθεια, και το ξέρει.
SL-00012^Rhys Hollis^Άνδρας^Half-Elf^Artificer^Armorer^7^3^Ιχνηλάτης θηρίων^Thundermount Guild^Thundermount^Anvil Head (SET-035)^Ουδέτερος^17^77^Steel Defender + warhammer^+7^1d8+4 τέμνον^Catapult; Absorb Elements; Invisibility; Faerie Fire^-^πρωτότυπο που δεν δούλεψε ποτέ; κομμάτι λιωμένης ράγας; κατάστιχο με κωδικοποιημένα όλα τα χρέη της κάτω πόλης^Φράζει την είσοδο ενός shaft με το σώμα του, λέει στο συνεργείο να πάει σπίτι και αρνείται να εξηγήσει.^Έχει μάθει να χαμηλώνει τη φωνή του όταν λέει κάτι αληθινό.
SL-00018^Bethel Deepwell^Γυναίκα^Aasimar^Barbarian^-^1^1/8^Διαλογέας μεταλλεύματος^Guardians^Thundermount^Thunder Camp (SET-032)^Ουδέτερη^15^13^Handaxe pair^+5^1d6+3 τέμνον^-^-^γροθιές τυλιγμένες με αλυσίδα; πρόγραμμα βάρδιας με τρία ονόματα διαγραμμένα; κατάστιχο με κωδικοποιημένα όλα τα χρέη της κάτω πόλης^Στέκεται εντελώς ακίνητη σε μια στοά, ακούγοντας, και κάνει νόημα για ησυχία.^Απαντάει με παροιμίες, τις μισές από τις οποίες επινοεί.
SL-00041^Dain Kettering^Άνδρας^Dwarf^Druid^-^2^1/4^Αρχάριος γιατρός^Independent^Thundermount^Slag Shafttown (SET-033)^Εχθρικός^16^19^Scimitar^+5^1d6+3 τέμνον^Goodberry; Healing Word; Entangle; Faerie Fire^-^βάζο με χώμα από τόπο που δεν υπάρχει πια; κομμάτι λιωμένης ράγας; σφραγισμένο φιαλίδιο με μόνο μια ημερομηνία^Χαρτογραφεί μια καταρρευσμένη στοά μόνο με τον ήχο.^Χρησιμοποιεί τον τύπο ευγενείας με όλους, ακόμα και με παιδιά και ζώα.
SL-00050^Kava Ferrow^Γυναίκα^Dragonborn^Sorcerer^Aberrant Sorcery^9^6^Υπάλληλος assay^Thundermount Guild^Thundermount^Deep Cut (SET-027)^Ουδέτερη^12^71^Fire Bolt^+9^210 fire^Burning Hands; Mirror Image; Hold Person; Shield^-^ουλή που σχηματίζει αστερισμό; δείγμα πυρήνα με ετικέτα σε γραφικό χαρακτήρα που κανείς δεν αναγνωρίζει; μια χάρη που οφείλει κάποιος τον οποίο το party θα χρειαστεί^Φράζει την είσοδο ενός shaft με το σώμα της, λέει στο συνεργείο να πάει σπίτι και αρνείται να εξηγήσει.^Δίνει κάθε οδηγία ως αριθμημένη λίστα, φωναχτά.
SL-00055^Halloway Ryke^Άνδρας^Human^Wizard^-^1^1/8^Καμπανάρης^Independent^Thundermount^Anvil Head (SET-035)^Εχθρικός^11^8^Ray of Frost^+5^1d8 cold^Sleep; Shield; Magic Missile; Grease^-^focus από λιωμένο γυαλί της Otherside; σακί με ακατέργαστο crystalline ore; παιδικό γράμμα με παραλήπτη κάποιον του party^Στα μισά ενός pylon μέσα σε καταιγίδα, φωνάζει νούμερα σε έναν βοηθό που δεν υπάρχει.^Απαντάει με παροιμίες, τις μισές από τις οποίες επινοεί.
SL-00057^Dell Tallow^Άνδρας^Human^Bard^-^2^1/4^Μαθητευόμενος εισπράκτορα^Thundermount Guild^Thundermount^Copper Shafttown (SET-030)^Ουδέτερος^13^17^Hand crossbow^+5^1d6+3 διατρητικό^Healing Word; Charm Person; Dissonant Whispers; Bane^-^βιβλίο με ονόματα που κανείς δεν θα τραγουδήσει; κομμάτι λιωμένης ράγας; απλήρωτη επικήρυξη για τέρας ήδη νεκρό^Ανεβάζει κάτι βαρύ από ένα shaft πολύ αργά, μόνος.^Απαντάει με παροιμίες, τις μισές από τις οποίες επινοεί.
SL-00061^Vaunea Ashcombe^Γυναίκα^Goliath^Sorcerer^Wild Magic Sorcery^7^4^Επιθεωρητής wards^Thundermount Guild^Thundermount^Deep Cut (SET-027)^Εχθρική^14^53^Ray of Frost^+7^2d8 cold^Absorb Elements; Magic Missile; Burning Hands; Shield^-^focus από γυαλί καταιγίδας; πρόγραμμα βάρδιας με τρία ονόματα διαγραμμένα; γραπτή ομολογία υπογεγραμμένη από κάποιον που ζει ακόμα^Πίνει μόνη σε ταβέρνα γεμάτη με το δικό της συνεργείο.^Μιλάει γρήγορα όταν λέει ψέματα και αργά όταν λέει αλήθεια, και το ξέρει.
SL-00074^Kaelen Vale^Άνδρας^Half-Elf^Barbarian^Path of the Wild Heart^5^2^Επιστάτης ορυχείου^Independent^Thundermount^Anvil Head (SET-035)^Φιλικός^17^60^Maul^+7^2d6+4 θλαστικό^-^-^greatsword με χαυλιόδοντα αγριόχοιρου; λάμπα με ραγισμένο δοχείο; βιβλιάριο μερίδων με εγγραφές σε δύο χέρια^Κόβει δείγμα crystalline και τσεπώνει το μισό.^Απαντάει με παροιμίες, τις μισές από τις οποίες επινοεί.
SL-00078^Ysolde Ashgrove^Γυναίκα^Half-Elf^Barbarian^Path of the Zealot^16^10^Πιλότος καταιγίδων^Thundermount Guild^Thundermount^Slag Cut (SET-036)^Ουδέτερη^18^180^Maul^+10^2d6+5 θλαστικό^-^-^greataxe ορυχείου με λάμα φαγωμένη από μετάλλευμα; λάμπα με ραγισμένο δοχείο; κατάστιχο με κωδικοποιημένα όλα τα χρέη της κάτω πόλης^Σημαδεύει ένα δοκάρι με κιμωλία και μετά το ξανασημαδεύει διαφορετικά.^Σωπαίνει τελείως όταν λέει ψέματα, που είναι κακή τακτική.
SL-00088^Lorna Cinderhaugh^Γυναίκα^Human^Paladin^Oath of Vengeance^5^2^Τεχνικός shield^Drifters^Thundermount^Deep Cut (SET-027)^Ουδέτερη^18^57^Greatsword (Divine Smite)^+7^2d6+4 + 2d8 radiant^Cure Wounds; Misty Step; Hunter's Mark; Divine Favor^-^όρκος ξαναγραμμένος με το ίδιο της το χέρι; κομμάτι λιωμένης ράγας; όνομα γραμμένο σε χέρι και ξαναγραμμένο κάθε μέρα^Στέκεται εντελώς ακίνητη σε μια στοά, ακούγοντας, και κάνει νόημα για ησυχία.^Γρήγορη, υπερδιεγερμένη ομιλία· διακόπτει τον εαυτό της με διορθώσεις και παρενθέσεις.
SL-00091^Nyssa Rookhurst^Γυναίκα^Human^Rogue^Arcane Trickster^11^6^Ιχνηλάτης θηρίων^Drifters^Thundermount^Anvil Head (SET-035)^Φιλική^16^105^Hand crossbow (Sneak Attack)^+9^1d6+5 + 6d6 διατρητικό^-^-^σχοινί με κόμπους κάθε μπράτσο; σακί με ακατέργαστο crystalline ore; σπασμένη λεπίδα φυλαγμένη για την επιγραφή της^Κοιμάται στο στόμιο του shaft αντί να πάει σπίτι.^Μιλάει με τον ρυθμό εκπαιδευτή ακόμα και όταν συζητάει για το δείπνο.
